text,label
Çocukluğumun geçtiği o tarihi ahşap evin yıkıldığını öğrendim.,uzuntu
Yıllardır beslediğim muhabbet kuşumu bu sabah kafesinde cansız buldum.,uzuntu
Çok istediğim o prestijli burs başvurusunun olumsuz sonuçlandığı yazıyor.,uzuntu
En yakın arkadaşımın ani bir kararla başka bir ülkeye taşınması beni sarstı.,uzuntu
Dedemin eski fotoğraflarına bakarken onun yokluğunu derinden hissettim.,uzuntu
Büyük emek verdiğim roman taslağının bilgisayar çökünce silindiğini fark ettim.,uzuntu
Sokakta bacağı kırılmış halde çaresizce bekleyen bir kedi gördüm.,uzuntu
Maçın son dakikasında kendi kalemize attığımız golle turnuvadan elendik.,uzuntu
Yağmurlu havada otobüsü kaçırınca sırılsıklam oldum ve çok çaresiz hissettim.,uzuntu
Küçükken bana masallar anlatan komşu teyzenin vefat haberini aldım.,uzuntu
En sevdiğim fincan elimden kayıp mutfak fayanslarında darmadağın oldu.,uzuntu
Hak ettiğim zammı alamayınca bunca yıllık emeğimin boşa gittiğini anladım.,uzuntu
Eski sevgilimin başkasıyla evlendiğini sosyal medyada görmek içimi acıttı.,uzuntu
Depremzedelerin çadırlarda yaşam mücadelesi verdiğini izlemek beni kahrediyor.,uzuntu
Yıllar önce yazdığım günlüğü okuyunca ne kadar çok hayalimden vazgeçtiğimi gördüm.,uzuntu
Gezi için biriktirdiğim paranın enflasyon karşısında eriyip bittiğini fark ettim.,uzuntu
Annemin dizlerindeki ağrılar yüzünden artık yürümekte zorlanması beni üzüyor.,uzuntu
Memleketimdeki o asırlık ormanın yangında küle döndüğünü televizyonda gördüm.,uzuntu
Haklı olduğum bir konuda kimsenin bana inanmaması beni yalnızlığa itti.,uzuntu
Hayalini kurduğum tiyatro oyununun biletleri saniyeler içinde tükenmiş.,uzuntu
Göçmen çocukların soğukta yalın ayak yürüdüğünü görmek içimi parçaladı.,uzuntu
Hazırladığım akşam yemeğine kimsenin gelmeyeceğini son dakika öğrendim.,uzuntu
Yıllarca emek verdiğim aile şirketimizin iflas bayrağını çektiğini duyduk.,uzuntu
Kuzenimin amansız bir hastalığa yakalandığı haberi ailemizi yasa boğdu.,uzuntu
Çok beğendiğim o tarihi köprünün restorasyon adı altında mahvedildiğini gördüm.,uzuntu
En sevdiğim yazarın son kitabında ana karakterin ölmesi beni ağlattı.,uzuntu
Doğum günümde hiç kimseden tek bir kutlama mesajı bile almadım.,uzuntu
Sahilde yürürken kıyıya vurmuş ölü bir yunus balığına rastladım.,uzuntu
Küçüklük oyuncağımın taşınma esnasında nereye kaybolduğunu bir türlü bulamadım.,uzuntu
Hak ettiğim başarı ödülünün torpille başkasına verilmesi beni yıktı.,uzuntu
"Akşam saatlerinde şehrin üzerini kaplayan o gri, kasvetli hava içimi kararttı.",uzuntu
Eskiden cıvıl cıvıl olan mahallemizin şimdilerde beton yığınına dönmesi çok acı.,uzuntu
Paylaşacak kimsem olmadığı için sevincimi içimde yaşamak zorunda kaldım.,uzuntu
Yıllar boyu biriktirdiğim pul koleksiyonumun rutubetten mahvolduğunu gördüm.,uzuntu
Doktordan aldığım tahlil sonuçları beklediğimden çok daha kötü çıktı.,uzuntu
Sınıfta yaptığım konuşma sırasında herkesin arkamdan fısıldaşıp gülmesi beni incitti.,uzuntu
En çok gitmek istediğim festivalin bu yıl iptal edildiğini duyurdular.,uzuntu
Beslenme çantası boş olan o küçük çocuğu görünce boğazım düğümlendi.,uzuntu
Uzun süredir görmediğim babamın beni tanıyamayacak kadar yaşlandığını fark ettim.,uzuntu
Aldığım yeni ayakkabının daha ilk günden tabanının sökülmesi moralimi bozdu.,uzuntu
Sokak lambasının altında tek başına titreyen o evsiz adam aklımdan çıkmıyor.,uzuntu
Özenle hazırladığım sunum esnasında projeksiyon cihazının bozulması her şeyi mahvetti.,uzuntu
Dinlediğim o eski türkü bana geçmişte kaybettiğim dostlarımı hatırlattı.,uzuntu
Şehrin en eski sinema salonunun yerine AVM yapılacağını öğrendim.,uzuntu
Hak etmediğim halde öğretmenimin beni tüm sınıfın önünde azarlaması ağırıma gitti.,uzuntu
Gökyüzünün günlerdir kapalı olması ruhumu adeta hapsetmiş gibi hissettiriyor.,uzuntu
Yaptığım resmin üzerine kazara su döküldü ve tüm renkler birbirine karıştı.,uzuntu
Hak ettiğim halde milli takım kadrosuna seçilemediğimi öğrendim.,uzuntu
Telefon rehberimde artık asla arayamayacağım insanların numaralarını gördüm.,uzuntu
Sıramı beklerken birinin arsızca önüme kaynak yapmasına tahammül edemiyorum.,ofke
Bilgisayarıma bulaşan virüs yüzünden haftalarca uğraştığım tüm kodlar kilitlendi.,ofke
Müşteri hizmetlerinin beni saatlerce telefonda bekletip yüzüme kapatması çıldırttı.,ofke
Kırmızı ışıkta geçen o şuursuz sürücü az kalsın bana çarpıyordu.,ofke
Ödünç verdiğim pahalı kitabın sayfaları yırtılmış ve lekeli olarak geri geldi.,ofke
Ofiste arkamdan kuyu kazan o iş arkadaşımın ikiyüzlülüğünü nihayet belgeledim.,ofke
Kargo şirketinin sağlam paketlediğim ürünü kırıp suçu bana atması bardağı taşırdı.,ofke
Gecenin üçünde üst kattan gelen matkap sesi yüzünden sinir krizine girecektim.,ofke
Sinema salonunda arkamdaki kişinin sürekli koltuğuma tekme atması beni delirtti.,ofke
Faturama yansıtılan o haksız ek ücreti iptal etmemek için direniyorlar.,ofke
Ortak projede hiçbir şey yapmayıp tüm başarıyı üstlenen o arsıza çok kızgınım.,ofke
Tam kritik bir e-posta gönderirken internet sağlayıcısının bağlantıyı kesmesi çıldırttı.,ofke
Garsonun siparişimi yanlış getirip bir de üstüne beni suçlaması kabul edilemez.,ofke
Arabamı kurallara uygun park ettiğim halde sileceklerimi kırmışlar.,ofke
Telefonuma günde elli tane bahis sitesi mesajı gelmesinden artık bıktım.,ofke
Toplantı saatine yarım saat geç kalıp hiçbir şey olmamış gibi davranıyor.,ofke
Yere izmarit atan o bencil adama uyardığımda bana ters ters bakması sinir bozucu.,ofke
Randevulaştığımız yere gelmeyip telefonlarımı da açmayan o arkadaşı sildim.,ofke
Yeni aldığım telefonun ikinci gününde şarj soketinin bozulması beni çıldırttı.,ofke
Benim fikrimi çalıp müdüre kendi fikriymiş gibi pazarlayan o hırsıza tahammülüm yok.,ofke
Kütüphanede sessiz olunması gerekirken yüksek sesle telefonla konuşan tipler var.,ofke
Ev sahibinin yasal sınırın çok üzerinde fahiş bir zam talep etmesi beni delirtti.,ofke
Tam fırından yemeği çıkaracakken elektriklerin kesilmesi her şeyi berbat etti.,ofke
Taksimetreyi açmamak için kırk dereden su getiren o fırsatçı taksiciye çok sinirlendim.,ofke
Sosyal medyada klavye delikanlılığı yapıp insanlara hakaret edenlerden nefret ediyorum.,ofke
Mağazadan aldığım ürünün defolu olduğunu evde fark edince iade için zorluk çıkardılar.,ofke
Saatlerdir üzerinde çalıştığım tezin üzerine kahve dökülmesi beni çileden çıkardı.,ofke
Kedimi veterinere götürürken toplu taşımada laf atan o cahillere haddini bildirdim.,ofke
Sipariş ettiğim yemeğin buz gibi ve dökülmüş bir şekilde gelmesi sabrımı taşırdı.,ofke
Söylediğim sırrı tüm ofise yayan o güvenilmez insandan hesap soracağım.,ofke
Otobüste yüksek sesle video izleyip kulaklık takmayan bencil insanlara sinir oluyorum.,ofke
Tam önemli bir iş görüşmesindeyken kapıya gelen pazarlamacının zili ısrarla çalması delirtti.,ofke
Hak etmediğim halde yöneticimin hırslarını benden çıkarmasını asla kabul etmiyorum.,ofke
Tam tatile çıkacakken uçuşun sebepsiz yere iptal edilmesi beni çileden çıkardı.,ofke
Benimle konuşurken sürekli telefonuna bakan o saygısız insana karşı öfkem büyük.,ofke
Otoparkta iki arabalık yere tek başına park eden bencil sürücüye çok kızgınım.,ofke
Tam ödeme yapacakken banka kartımın sebepsiz yere bloke edilmesi beni delirtti.,ofke
Arkadaşımın verdiğim sırları başkalarına malzeme yaptığını öğrenince küplere bindim.,ofke
Sokak hayvanlarına eziyet eden o vicdansızların cezasız kalması beni öfkelendiriyor.,ofke
Maç esnasında hakemin göz göre göre aleyhimize penaltı uydurması sabrımı taşırdı.,ofke
İş başvurusunda tüm aşamaları geçmeme rağmen torpilli birinin alınması adil değil.,ofke
Yeni boyattığım duvara üst komşunun su sızdırması yüzünden lekeler oluştu.,ofke
Randevuma tam zamanında gittiğim halde doktorun beni iki saat bekletmesi kabul edilemez.,ofke
Bilgisayarımın güncelleme uyarısı vermeden pat diye kapanması beni çileden çıkardı.,ofke
Arkamdan dedikodu yapıp yüzüme gülen o akrabaları hayatımdan tamamen çıkarıyorum.,ofke
Tam çorba içecekken içinden kıl çıkması midemi bulandırdı ve beni sinirlendirdi.,ofke
Yol çalışması tabelası koymayıp trafiği kilitleyen belediyeye karşı çok öfkeliyim.,ofke
Kargocunun paketi kapıya fırlatıp gittiğini kameradan görünce hemen şikayet ettim.,ofke
Tam en heyecanlı yerinde dizinin arasına otuz dakika reklam girmesi sinir bozucu.,ofke
Emeğimin karşılığını vermeyip bir de üstüne mesaiye kalmamı isteyen patrona kızgınım.,ofke
Aniden bastıran sisten dolayı dağ yolunda önümü göremez hale gelince panikledim.,korku
Gece yarısı evde tek başımayken çatı katından gelen ayak sesleri ödümü kopardı.,korku
Asansörün katlar arasında birdenbire durması ve ışıkların sönmesi beni dehşete düşürdü.,korku
Doktorun biyopsi sonuçları için acilen hastaneye çağırması içimi büyük bir endişeyle kapladı.,korku
Denizde yüzerken ayağıma bir şeyin dolandığını hissedince boğulma tehlikesi hissettim.,korku
Deprem anında duvarların çatlama sesini duymak hayatımdaki en büyük kabustu.,korku
Ormanda kamp yaparken çadırın hemen dışından gelen hırıltı sesiyle donakaldım.,korku
Sokak köpeği sürüsünün hırlayarak üzerime doğru koştuğunu görünce ne yapacağımı şaşırdım.,korku
Şiddetli fırtınada uçağın sürekli irtifa kaybetmesi yolcular arasında panik yarattı.,korku
Yeni doğan bebeğimin bir an nefes alamadığını fark ettiğimde kalbim duracak gibi oldu.,korku
Eski mahzendeki merdivenlerden aşağı inerken etrafı saran o karanlık içimi ürpertti.,korku
Arkamdan gelen o maskeli adamın beni takip ettiğinden artık tamamen emindim.,korku
Laboratuvardaki kimyasal tüpün çatladığını ve gaz sızdırdığını görünce dehşete kapıldım.,korku
Tünelin ortasındayken tavanın çatırdamaya başlamasıyla kaçacak yer aradım.,korku
Çocuğumun kalabalık pazar yerinde bir anda elimi bırakıp kaybolması kabus gibiydi.,korku
Gece rüyamda yüksek bir uçurumdan aşağı son hızla düştüğümü görerek sıçradım.,korku
Arabanın frenlerinin tutmadığını o keskin viraja girmeden hemen önce fark ettim.,korku
Eski akıl hastanesinin koridorlarında yankılanan o fısıltı sesleri tüylerimi diken diken etti.,korku
Evin mutfağında devasa bir akrebin tezgahın üzerinde yürüdüğünü gördüm.,korku
Şirketin finansal kriz nedeniyle tüm çalışanları işten çıkaracağı söylentisi korkutuyor.,korku
Lunaparktaki hızlı trende emniyet kemerimin gevşediğini hissettiğim an dehşete düştüm.,korku
Dağ tırmanışında bastığım kayanın kırılmasıyla boşlukta asılı kaldım.,korku
Bilmediğim yabancı bir ülkenin tekinsiz bir sokağında gece yarısı kayboldum.,korku
Doktor kalbimin ritminde ciddi bir bozukluk olduğunu söyleyince çok endişelendim.,korku
Yangın alarmının çalmasıyla otel koridorunu yoğun bir duman kapladı.,korku
Eski evin tavan arasındaki o porselen bebeğin gözlerinin oynadığını sandım.,korku
Gece göl kenarında yürürken suyun içinden devasa bir karaltının fırlaması ürküttü.,korku
Sınırı geçerken silahlı askerlerin bizi durdurup sorgulamaya başlaması korkunçtu.,korku
Vahşi doğa gezisinde çalıların arkasından bir ayının kafasını uzattığını gördüm.,korku
"Telefonuma gelen bilinmeyen numaradan ""Seni izliyorum"" mesajı beni dehşete düşürdü.",korku
Fabrikadaki gaz tankının basınç göstergesinin kırmızı alarm verdiğini fark ettim.,korku
Yoğun bakımdaki yakınımın bağlı olduğu cihazdan uzun bir bip sesi yükseldi.,korku
Gece arabayla ilerlerken farların birden sönmesiyle zifiri karanlıkta kaldım.,korku
Evin kapısının zorlandığını içeriden kilit seslerini duyarak fark ettim.,korku
Büyük bir örümceğin yatağımın üzerinde yavaşça ilerlediğini gördüm.,korku
Bilim kurgu filmindeki o yaratığın gerçek hayatta da olabileceği fikri ürkütücü.,korku
Nehirde akıntıya kapılıp şelaleye doğru sürüklendiğimi fark ettiğim an panikledim.,korku
Tiyatro sahnesine çıkmadan hemen önce tüm repliklerimi unuttuğumu fark ettim.,korku
Şiddetli şimşek çakmasıyla birlikte evdeki tüm camlar zangır zangır titredi.,korku
Yapay zekanın insanlığı ele geçireceğine dair senaryolar beni tedirgin ediyor.,korku
Okyanusta tüplü dalış yaparken arkamda bir köpekbalığı gölgesi belirdi.,korku
Tarihi eseri incelerken duvardaki eski bir lanet yazıtını okudum ve ürperdim.,korku
Küçük çocuğun balkondan aşağı sarkar vaziyette durduğunu görünce yüreğim ağzıma geldi.,korku
Gece yürüyüşünde mezarlığın içinden tuhaf bir ağlama sesi geldiğini duydum.,korku
Kimsenin yaşamadığı o metruk binadan dışarıya doğru bir ışık sızıyordu.,korku
Ameliyata girmeden hemen önce narkoz maskesini yüzüme taktıklarında çok korktum.,korku
Kışın donmuş gölün üzerinde yürürken ayağımın altındaki buz katmanı çatladı.,korku
Bilgisayar kameramın ben açmadığım halde yeşil ışığının yandığını gördüm.,korku
Ormandaki bataklığa basıp dibe doğru çökmeye başladığımı hissettim.,korku
Gece uykumdan uyanıp vücudumu hareket ettiremediğimi fark edince karabasan sandım.,korku
Yıllardır ev uysalı sandığım kedimin balkondan uçan kuşu havada yakalaması inanılmazdı.,saskinlik
Hiç ummadığım bir anda çocukluk aşkımın bana evlenme teklif etmesi şoke etti.,saskinlik
Arkeolojik kazıda günümüz teknolojisine ait bir metal parçası bulunduğunu duydum.,saskinlik
Sabah kalktığımda tüm şehrin bir gecede bembeyaz karla kaplandığını gördüm.,saskinlik
Alışveriş merkezindeki çekilişten en lüks model arabanın bana çıktığını öğrendim.,saskinlik
İngilizceyi zar zor konuşan arkadaşımın meğer akıcı şekilde Japonca bildiğini öğrendim.,saskinlik
Laboratuvardaki deney tüpünün mavi yerine aniden parlak pembeye dönüşmesi şaşırttı.,saskinlik
Yıllardır sessiz sakin bilinen komşumuzun gizli bir rock yıldızı olduğu ortaya çıktı.,saskinlik
Sahnede sihirbazın şapkasından güvercin yerine canlı bir iguana çıkarması beklenmedikti.,saskinlik
Telefonumu evde unuttum sanırken montumun astarının içinden çıkmasına şaşırdım.,saskinlik
Sıradan bir taş sandığım nesnenin aslında değerli bir göktaşı olduğunu açıkladılar.,saskinlik
Hiç ders çalışmayan o öğrencinin olimpiyatlarda birinci olduğunu öğrendim.,saskinlik
Ofisteki o sert ve somurtkan müdürün odasında tek başına dans ettiğini gördüm.,saskinlik
Çöpe atılacak o eski tablonun ünlü bir ressama ait orijinal bir eser olduğu belirlendi.,saskinlik
Yol kenarında yürürken bir ağacın gövdesinden su yerine süt fışkırdığını gördüm.,saskinlik
Hiç tanımadığım birinden adıma milyon dolarlık bir miras kaldığı tebliğ edildi.,saskinlik
Yıllar önce denize bıraktığım şişenin içindeki mesajın başka kıtada bulunması mucize.,saskinlik
Mağazadaki cansız mankenin aniden hareket edip bana el sallamasıyla irkildim.,saskinlik
Yeni aldığım papağanın ilk gününde adımı net bir şekilde telaffuz etmesi şaşırttı.,saskinlik
Gökyüzünde bulutsuz havada aynı anda iki tane güneş belirdiğini gördüm.,saskinlik
Sınavdan sıfır beklerken hocanın notları karıştırıp bana yüz vermesi şaşırttı.,saskinlik
Yıllarca benden nefret ettiğini düşündüğüm kişinin gizli hamim olduğunu öğrendim.,saskinlik
Kitabın son sayfasında katilin aslında dedektifin kendisi çıkması şoke ediciydi.,saskinlik
Evin arkasındaki tarlayı kazarken Roma dönemine ait altın sikkeler bulduk.,saskinlik
Hiç bilet almadığım halde e-posta kutumda dünya turu kazandığıma dair resmi yazı gördüm.,saskinlik
Kutup ışıklarının Türkiye semalarında da net bir şekilde izlenebilmesi şaşkınlık yarattı.,saskinlik
En yakın arkadaşımın aslında ikiz kardeşi olduğunu yirmi yıl sonra öğrendim.,saskinlik
Yapay zekanın benimle tamamen felsefi ve duygusal bir dille tartıştığını gördüm.,saskinlik
İş yerindeki sessiz stajyerin holding sahibinin tek oğlu olduğunu öğrendik.,saskinlik
Bahçedeki elma ağacının bu yıl armut meyvesi verdiğini görünce gözlerime inanamadım.,saskinlik
Doğum günümde odama girdiğimde tüm arkadaşlarımın saklandıkları yerden fırlaması şaşırttı.,saskinlik
Hiç yemek yapmayı bilmeyen eşimin muazzam bir suşi tabağı hazırlaması şoke etti.,saskinlik
Antarktika'da buzulların altında yeşil bir vaha keşfedildiğini haberlerde okudum.,saskinlik
Yolda yürürken havadan aniden binlerce balık yağmaya başlaması akıl almazdı.,saskinlik
Yıllardır kayıp olan kedimin beş yıl sonra kapının önünde belirmesi şaşkınlık yarattı.,saskinlik
Yeni aldığım akıllı saatin benim söylemediğim şeyleri tahmin etmesi ürkütücü bir sürprizdi.,saskinlik
Müzedeki o antik heykelin bana ikizim kadar benzediğini fark edince dondum kaldım.,saskinlik
Bir gecede saçlarımın tamamen beyazladığını aynaya bakınca fark ettim.,saskinlik
Dünyanın en kurak çölüne son yüz yılın en büyük selinin vurduğunu gördüm.,saskinlik
Hiç spor yapmayan birinin maratonda profesyonel atletleri geçerek birinci olması şaşırttı.,saskinlik
Evin bodrumunda gizli bir geçit ve oraya açılan kütüphane buldum.,saskinlik
Telefonumun şarjının bir hafta boyunca yüzde yüzde sabit kalması olağanüstüydü.,saskinlik
Çok ucuz bir lokantada dünyanın en lezzetli gurme yemeğini yiyeceğimi tahmin etmezdim.,saskinlik
Aynaya baktığımda yansımamın benden birkaç saniye sonra hareket ettiğini gördüm.,saskinlik
Bilim insanlarının zamanda geriye doğru veri göndermeyi başardıklarını duyurması şoke etti.,saskinlik
Sokaktaki dilencinin altından son model lüks bir spor araba çıkması şaşırttı.,saskinlik
En sevdiğim video oyununun gizli bir bölümünde kendi adımı ve soyadımı gördüm.,saskinlik
Yıllardır görmediğim ilkokul öğretmenimin uçağın yan koltuğunda oturduğunu fark ettim.,saskinlik
Çocuğun elindeki oyuncak uçağın gerçekten havaya uçup gözden kaybolması şaşırttı.,saskinlik
Bir bitkinin müzik çalındığında yapraklarını ritme göre salladığını gözlemledim.,saskinlik
Yıllardır biriktirdiğim tasarım fikirlerini nihayet kendi markam altında hayata geçirdim.,mutluluk
Eski bir hırkamın cebinde çocukken yazdığım gelecek hedefleri listesini bulup yarısını gerçekleştirdiğimi gördüm.,mutluluk
Uzun süren kuraklığın ardından toprağın yağmuru emişini ve etrafa yayılan o taze kokuyu içime çektim.,mutluluk
Aylardır üzerinde çalıştığımız yapay zeka algoritması nihayet minimum hata oranıyla stabil çalışmaya başladı.,mutluluk
Yıllar sonra katıldığım maratonda kendi kişisel rekorumu kırarak bitiş çizgisini geçtim.,mutluluk
Büyükbabamın eski plakçalarını tamir ettirip onun gençlik şarkısını oturma odasında çaldığım an harikaydı.,mutluluk
Sıkıcı geçen bir toplantının ardından yöneticim vizyonumu çok beğendiğini ve bütçe ayıracağını söyledi.,mutluluk
Bahçeye kurduğum teleskopla Satürn'ün halkalarını ilk kez bu kadar net ve canlı görebildim.,mutluluk
Yorucu bir taşınma sürecinin ardından balkona oturup kahvemi yudumlarken doğru kararı verdiğimi anladım.,mutluluk
Üniversitedeki ilk yılımda yazdığım kısa film senaryosu bağımsız bir festivalden fon almaya hak kazandı.,mutluluk
Tarihi bir arşivde ailemin kökenlerine dair üç yüz yıllık el yazması bir belgeye ulaştım.,mutluluk
"Doktor, kronik omurga ağrılarımın tamamen geçtiğini ve artık dilediğim gibi spor yapabileceğimi belirtti.",mutluluk
Aylardır görmediğim yeğenimin havaalanında beni görür görmez koşup boynuma sarılması her şeye değdi.,mutluluk
Kendi imkanlarımla kurduğum serada ilk orkidemin çiçek açtığını bu sabah fark ettim.,mutluluk
Yıllarca uğraştığım restorasyon projesinin ardından antik konağın kapılarını nihayet ziyarete açtık.,mutluluk
Zorlu bir mülakat simülasyonunun ardından jüriden tam puan aldığımı belirten belgeyi imzaladım.,mutluluk
Uzun süredir dargın olduğum kardeşimden gelen samimi ve barışçıl mesaj içimdeki tüm buzları eritti.,mutluluk
Yaptığım ebru sanatı çalışması yerel bir sergide baş köşeye layık görüldü.,mutluluk
Kamp yaparken sabaha karşı çadırı açıp vadinin üzerindeki sis bulutunun dağılışını izlemek büyüleyiciydi.,mutluluk
Şirketin global inovasyon ödülünü kazandığımız haberi tüm ekibe bayram havası yaşattı.,mutluluk
Evde kendi başıma öğrendiğim enstrümanla ilk defa kesintisiz bir parçayı baştan sona çalabildim.,mutluluk
Eski bir kütüphane rafında çocukluğuma ait unutulmuş bir masal kitabının basımını bulup satın aldım.,mutluluk
Tasarladığım mimari projenin çevre dostu binalar listesinde birinci seçildiğini resmi gazetede gördüm.,mutluluk
Gönüllü olarak katıldığım barınak projesinde üç yaşlı köpeğin aynı gün sahiplendirildiğini öğrendim.,mutluluk
Uzun süredir üzerinde düşündüğüm felsefi teoriyi makalemde tutarlı bir şekilde temellendirmeyi başardım.,mutluluk
Akşam yemeğinde ilk kez denediğim Uzak Doğu tarifinin kıvamı ve lezzeti tam restorandaki gibi oldu.,mutluluk
Eski bisikletimi tamamen söküp boyadıktan sonra ilk sürüşü sahil şeridinde yapmak çok keyifliydi.,mutluluk
Yıllardır hayalini kurduğum ahşap atölyesini kurup ilk masamı kendi ellerimle zımparaladım.,mutluluk
Sahnede yaptığım stand-up gösterisinde tüm salonun esprilerime kahkahalarla güldüğünü görmek harikaydı.,mutluluk
Zorlu geçen kış mevsiminin ardından bugün balkonda ilk kez montsuz oturup güneşlendim.,mutluluk
Yazdığım çocuk kitabının ilk baskısının matbaadan taze kokusuyla elime ulaştığı anı unutamam.,mutluluk
Yıllardır çözemediğim o karmaşık yazılım hatasını sabaha karşı tek bir satır kodla düzelttim.,mutluluk
Üniversite kütüphanesinde aradığım nadir biyografi kitabının tek kopyasının rafta beni beklediğini gördüm.,mutluluk
Evdeki eski radyoyu kurcalarken aniden babamın gençliğinde kaydettiği bir ses bandına denk geldim.,mutluluk
Aylarca süren hukuki mücadelenin ardından haksızlığa uğradığım davanın lehime sonuçlandığını öğrendim.,mutluluk
Dağ köyündeki çocuklara ulaştırdığımız kışlık kıyafetlerin ardından onların yüzündeki tebessüm her şeye değerdi.,mutluluk
Kendi ellerimle yaptığım seramik kupadan ilk sabah kahvemi içmenin tadı bambaşkaydı.,mutluluk
Uzun süredir devam eden uykusuzluk problemimi doğa yürüyüşleri ve meditasyon sayesinde tamamen çözdüm.,mutluluk
Sokakta yardıma muhtaç bulup veterinere götürdüğüm martının bugün doğaya salınacak kadar iyileştiğini gördüm.,mutluluk
Ofiste benim adıma düzenlenen sürpriz veda partisi ve arkadaşların hazırladığı video beni çok duygulandırdı.,mutluluk
Yıllardır gitmek istediğim antik kentin basamaklarında oturup gün batımını izlemek harika bir histi.,mutluluk
Yeni taşındığım mahalledeki esnafın beni çok sıcak karşılaması ve ikramlarda bulunması içimi ısıttı.,mutluluk
